"Table 1 – Median family after-tax income, Canada, provinces and territories, 2019 to 2022"
" "," 2019"," 2020"," 2021"," 2022"," 2021 to 2022"," 2019 to 2022"
"","2022 constant dollars","2022 constant dollars","2022 constant dollars","2022 constant dollars","% change","% change"
"Canada","60760","65170","63320","60800","-4.0","0.1"
"Newfoundland and Labrador","55600","58850","57780","54820","-5.1","-1.4"
"Prince Edward Island","53930","58130","56890","53830","-5.4","-0.2"
"Nova Scotia","53290","57460","55870","52730","-5.6","-1.1"
"New Brunswick","53930","57940","56230","53800","-4.3","-0.2"
"Quebec","55500","59170","58410","58260","-0.3","5.0"
"Ontario","62700","67620","65080","61510","-5.5","-1.9"
"Manitoba","57670","62870","59820","56750","-5.1","-1.6"
"Saskatchewan","63700","67950","64930","63090","-2.8","-1.0"
"Alberta","72360","74930","72420","69360","-4.2","-4.1"
"British Columbia","60900","66250","65200","61720","-5.3","1.3"
"Yukon","74290","78940","78760","75530","-4.1","1.7"
"Northwest Territories","81030","88060","86300","80120","-7.2","-1.1"
"Nunavut","71810","79420","73330","67200","-8.4","-6.4"
"","","","","","",""
"Source(s):"
"Annual Income Estimates for Census Families and Individuals (T1 Family File) (4105), table 11-10-0017-01."
