"Health indicator statistics, annual estimates, by household income quintile and highest level of education c 1 2 3"
"Frequency: Occasional"
"Table: 13-10-0906-01"
"Release date: 2025-08-06"
"Geography: Province or territory"
""
""

"Geography","Canada (excluding territories)",,,,,,,,,,,,,,,
"Selected characteristic 4 5","Household income, first quintile 12",,"Household income, second quintile",,"Household income, third quintile",,"Household income, fourth quintile",,"Household income, fifth quintile",,"Highest level of education, less than secondary school graduation 12",,"Highest level of education, secondary school graduation, no post-secondary education",,"Highest level of education, post-secondary certificate/diploma or university degree",
"Characteristics 6 7 8 9 10 11","Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",
"Indicators","2023","2024","2023","2024","2023","2024","2023","2024","2023","2024","2023","2024","2023","2024","2023","2024"
,"Number",,,,,,,,,,,,,,,
"Perceived mental health, very good or excellent 13","3,107,300","3,106,700","3,301,800","3,315,000","3,278,400","3,455,900","3,347,900","3,616,500","3,549,000","3,722,900","660,200","656,400","1,997,400","2,026,800","10,338,900","11,015,400"
"Perceived mental health, fair or poor 13","1,159,700","1,279,200","922,400","989,100","897,200","946,600","841,100","839,600","819,300","773,700","206,400","194,200","622,400","627,700","2,953,000","3,104,200"
"Perceived life stress, most days quite a bit or extremely stressful 14","1,385,800","1,496,700","1,239,800","1,316,400","1,392,500","1,449,600","1,451,600","1,559,100","1,500,800","1,587,100","213,100","174,500","765,100","778,800","4,243,200","4,594,600"
"Current smoker, daily 15 16 17 18","794,200","767,500","641,400","621,800","492,400","559,500","409,200","387,700","359,300","340,100","237,800","230,300","613,100","613,500","1,361,100","1,364,800"
"Ever used e-cigarette or vaping device 19","1,211,900","1,268,600","1,136,700","1,144,000","1,028,300","1,134,600","1,001,900","1,174,800","1,036,800","1,119,300","174,200","148,900","727,600","795,600","3,389,800","3,683,300"
"Used e-cigarette or vaping device, past 30 days 20","426,000","439,300","416,900","374,100","357,000","357,700","347,800","388,600","374,900","341,500","57,300","48,100E","300,700","281,300","1,176,000","1,216,900"
"Heavy drinking 21","903,100","860,600","1,013,900","1,073,400","1,128,000","1,300,600","1,335,300","1,346,500","1,631,500","1,623,600","184,100","161,100","733,700","781,800","3,836,300","4,049,900"
"Breast milk feeding initiation 22 23","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Exclusive breastfeeding, at least 6 months 22 24 25","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Fruit and vegetable consumption, 5 times or more per day 26","1,267,900","..","1,318,900","..","1,317,000","..","1,390,900","..","1,423,200","..","232,900","..","688,900","..","4,207,300",".."
"Sense of belonging to local community, somewhat strong or very strong 27","3,712,300","3,856,800","3,730,300","3,870,800","3,702,100","3,930,900","3,772,200","3,906,300","3,742,400","3,963,900","808,100","805,300","2,395,800","2,430,900","11,349,100","12,067,200"
"Life satisfaction, satisfied or very satisfied 28","4,781,100","4,897,300","5,148,800","5,243,700","5,281,700","5,421,200","5,429,800","5,569,200","5,568,800","5,676,800","1,031,000","1,012,600","3,099,500","3,151,800","16,358,300","16,947,900"
"Has a regular healthcare provider 29 30","4,949,100","5,167,200","5,132,700","5,283,200","5,146,700","5,384,700","5,204,200","5,454,600","5,210,900","5,528,800","1,123,100","1,107,400","3,265,700","3,249,500","15,793,500","16,799,300"
"Influenza immunization in the past 12 months 31","2,155,300","..","2,360,200","..","2,314,900","..","2,412,800","..","2,710,100","..","621,800","..","1,594,700","..","7,666,000",".."

Symbol legend:
.., not available for a specific reference period
E, use with caution


"Table Corrections:"
Date,Note
"","On October 3, 2024, data for the indicator "Used e-cigarette or vaping device, past 30 days" was corrected for the 2022 reference period."
"","On August 19, 2025, the 2024 data for the “Used e-cigarette or vaping device, past 30 days” indicator were corrected, along with the “Statistically different from the previous reference period” and “Statistically different from the reference category” flags for the same period. Additionally, the reference category for the “Body mass index, adjusted self-reported, obese” and “Perceived mental health, very good or excellent” indicators was updated for 2015 to 2024."



Footnotes:
1,"Source: Statistics Canada, Canadian Community Health Survey (CCHS)"
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Beginning in 2023, the coverage of the Canadian Community Health Survey (CCHS) was changed to include adults aged 18 and older. For estimates based on the total population aged 12 and older, estimates are available in the table <a href="https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310009701" rel="external noopener noreferrer" target="_blank">Health characteristics, annual estimates, by household income quintile and highest level of education (opens new window)</a>."
4,"The household income quintile is based on income received by all household members, from all sources, before taxes and deductions, during the twelve months ending December 31 of the year preceding the interview (for example December 31, 2022 for 2023 estimates). All households are ranked from lowest to highest according to the value of their before-tax income. The ranked population is then divided into five groups of equal numbers of units, called quintiles. This income is adjusted by a low income cutoff which represents the threshold at which a family would typically spend a larger portion of its income than the average family on the necessities of food, shelter and clothing. This adjusted income is divided into five quintiles at the national level (excluding the territories). Quintiles can also be formed at the provincial or health region level comparing these geographies. For more information on household income quintiles, see Canadian Community Health Survey (CCHS) derived variables documentation. Beginning in 2016, household income data are taken from tax records, if possible."
5,"The highest level of education attained in the households is based on the educational attainments of all household members. Post-secondary includes those with a trade, college, or CEGEP certificate or diploma. Estimates based on the highest level of education exclude non-respondents. As such, totals across the three education categories do not necessarily equal the total across the five income categories."
6,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
7,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
8,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
9,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
10,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Community Health Survey (CCHS) survey weights and resulting estimates included in this table are consistent with known population totals."
11,"Quality flags applied to percentage estimates are based on the sample size within the domain of estimation and based on the coefficient of variation (CV) for the estimated number of persons. The flag (E) signifies an estimate with poorer quality which should be used with caution. The flag (F) signifies an estimate with a quality that is too unreliable to be published. When there is no quality flag applied to the data, users should use the estimated confidence intervals as an indicator of quality for the statistics."
12,"This domain is the reference category for the statistical test against other income/education levels."
13,"Population aged 18 and over who reported perceiving their own mental health status as being excellent or very good or fair or poor, depending on the indicator. Perceived mental health refers to the perception of a person's mental health in general. Perceived mental health provides a general indication of the population suffering from some form of mental disorder, mental or emotional problems, or distress, not necessarily reflected in perceived health."
14,"Population aged 18 and over who reported perceiving that most days in their life were quite a bit or extremely stressful. Perceived life stress refers to the amount of stress in the person's life, on most days, as perceived by the person or, in the case of proxy response, by the person responding."
15,"Population aged 18 and over who reported being a current smoker. Does not take into account the number of cigarettes smoked."
16,"Data collected for this indicator is based on the question referring to smoking of cigarettes only. Note that data on smoking alternative tobacco products is captured in a different module (TAL)."
17,"Daily smoker refers to those who reported smoking cigarettes every day."
